 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
1	228.104	235.836	229.911
2	227.593	233.014	231.716
3	227.292	228.320	235.762
4	237.018	226.463	234.873
5	235.462	231.140	221.269
6	230.602	239.617	220.781
7	228.790	234.613	226.559
8	229.928	233.795	226.916
9	227.272	228.012	226.373
10	226.997	223.064	229.620
11	229.716	230.325	231.921
12	234.148	236.690	227.680
13	231.107	228.720	232.758
14	240.475	223.797	219.814
15	235.375	226.506	231.229
16	231.961	230.954	237.546
17	237.636	239.162	231.658
18	229.473	233.577	239.397
19	223.774	239.383	236.146
20	231.008	232.498	230.007
21	231.142	232.176	228.985
22	236.171	229.778	232.130
23	234.780	239.987	230.289
24	226.540	242.569	233.677
25	234.149	241.460	230.719
26	239.045	238.309	223.975
27	229.826	233.405	226.009
28	231.885	232.913	226.819
29	239.327	235.104	231.952
30	236.471	238.709	232.389
31	234.992	234.705	225.179
32	230.298	240.250	230.438
33	222.217	235.307	233.165
34	234.752	235.843	221.201
35	231.509	228.562	227.090
36	228.782	239.509	225.408
37	236.581	234.441	230.545
38	238.108	223.855	224.753
39	227.182	228.101	228.171
40	228.937	232.813	235.749
41	223.817	237.258	239.895
42	233.546	239.603	234.859
43	229.082	234.951	232.757
44	228.308	233.696	233.293
45	236.731	236.876	236.956
46	238.595	240.722	226.973
47	238.730	236.022	231.418
48	232.350	237.701	225.316
49	235.425	231.520	227.395
50	240.210	228.479	229.690
51	243.540	242.903	223.259
52	233.141	236.537	226.060
53	230.783	239.209	233.024
54	234.669	242.364	231.599
55	230.781	232.469	235.652
56	232.701	235.813	223.381
57	242.119	234.046	234.141
58	230.097	231.904	225.219
59	235.001	234.642	225.743
60	232.055	231.750	232.553
61	235.797	235.206	233.564
62	240.832	234.125	233.048
63	238.817	228.993	226.639
64	232.064	236.240	232.088
65	238.636	242.073	236.097
66	234.901	233.923	231.334
67	239.122	235.220	230.107
68	235.578	238.765	230.625
69	234.168	242.662	234.005
70	233.935	239.102	225.061
71	231.686	232.849	229.821
72	233.014	234.369	238.999
73	230.695	227.434	231.458
74	244.496	239.718	230.102
75	239.040	238.630	230.397
76	241.517	239.711	233.457
77	238.086	239.370	235.370
78	234.863	236.477	227.594
79	238.494	239.096	230.478
80	235.111	236.135	226.996
81	230.047	243.259	230.283
82	234.136	244.668	235.467
83	238.031	238.059	231.279
84	234.998	239.422	232.502
85	241.046	239.983	231.561
86	237.406	235.883	234.706
87	247.749	238.228	231.170
88	240.572	236.298	229.097
89	232.809	238.360	236.757
90	239.121	243.124	232.812
91	238.800	236.457	237.750
92	243.075	234.601	244.410
93	233.163	238.041	229.544
94	235.779	236.406	235.047
95	243.162	241.917	235.398
96	236.586	233.622	232.731
97	246.092	238.206	225.911
98	245.984	245.150	230.559
99	241.455	233.536	233.019
100	231.402	243.153	237.781
101	237.918	236.011	234.597
102	234.709	244.916	239.332
103	243.285	249.984	246.087
104	237.774	242.228	235.730
105	234.108	240.917	237.167
106	234.829	240.518	238.914
107	244.695	245.462	231.326
108	243.659	236.258	230.310
109	248.542	237.267	241.707
110	255.111	241.083	241.464
111	237.481	239.702	241.086
112	238.242	246.640	240.134
113	241.648	244.661	234.639
114	244.656	252.476	232.500
115	240.186	250.843	227.425
116	243.560	246.313	236.295
117	257.937	241.044	233.959
118	253.004	250.747	236.737
119	248.131	247.536	234.761
120	249.104	246.437	230.740
121	249.235	251.100	245.523
122	252.194	254.075	241.950
