,Distribution_1,Distribution_2,Distribution_3,Distribution_10
0,537.3636853262949,104.46172664001253,-183.26246603679382,469.22809184606416
1,28.48175079592646,33.93178052835037,538.84702116488,537.1807689113297
2,-21.141283055286067,109.11172456580347,12.894859166972054,922.8186821058248
3,-563.3296398153698,60.421451365886284,193.17375806836355,358.9487867046694
4,97.92884265676604,177.79996438612818,750.2797175628058,617.9399435430724
5,20.092159058925446,171.47347091175,3.751798041889799,667.9015740391003
6,-34.157340558682506,229.64233257912565,78.7681041991246,814.6667934682725
7,178.85066710642423,506.2483354265191,601.5370345237139,283.98158023912634
8,205.2626790638696,-231.16008634504078,-58.93734518821017,878.7175712390829
9,-166.40074511220843,479.46020175621817,103.09670642673701,708.6942466769025
10,-121.55991748886825,96.24294411884736,340.1321204448536,818.5681914614713
11,-18.933373170848796,-152.5309960950123,324.9593261825628,617.913025064712
12,272.42057755035535,112.45061376120316,359.5326618564747,190.23709331519336
13,240.29804400832026,178.51514928790135,303.7376946827976,438.1743421818981
14,-226.38712744514515,422.4451698175019,547.4556290732995,804.4423915665399
15,-179.8688153999047,-109.85305651240276,465.0966477076273,609.1986884996574
16,284.2093478073802,209.8926075486098,359.93072463059144,587.8243644081281
17,493.6585182760709,185.01043164391209,40.4107070190808,1047.8827741498453
18,92.23122788303499,-265.47216768527693,32.72112876008629,1150.4640784510311
19,-70.86165686630935,-140.88326078208564,-265.9612743114326,590.7332738952935
20,373.9074246298612,305.5810569624423,382.9391982572135,1083.2263571186222
21,22.605840694834512,329.4473693992717,-244.64128476980542,101.60711716856093
22,281.4380561997558,427.48327057977065,430.88956104033787,87.73568488270257
23,487.2679083429467,289.0109844668832,672.7023293440377,816.7638020798796
24,257.5199556233538,254.35855878934512,-54.30248983600049,534.5097316987856
25,118.37330925047236,186.27243789620653,39.98994401030615,744.7427767727027
26,283.0678384713138,457.8309660788909,92.05749114444873,729.1380963867466
27,-60.64384810833863,-55.21096971452437,418.68871850117904,577.649089875669
28,55.47670617189248,120.08216030150253,-4.7270179473660505,770.5324276192252
29,-43.48863985255173,251.89409008017725,178.4757443416773,637.6805022936162
